"campaignid","sample","count","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","caab_code"
"2021-06-ApolloMP_stereoBRUVs","APO_019",1,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_019",2,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_020",12,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_020",7,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_020",2,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_020",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_021",2,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_021",16,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_021",3,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_021",1,"Physical","Substrate","Unconsolidated (soft)",NA,NA,NA,NA,NA,NA,NA,NA,82001005
"2021-06-ApolloMP_stereoBRUVs","APO_022",13,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_022",5,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_022",3,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_022",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_022",1,"Biota","Sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+07
"2021-06-ApolloMP_stereoBRUVs","APO_023",11,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_023",7,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
"2021-06-ApolloMP_stereoBRUVs","APO_023",2,"Biota","Macroalgae",NA,NA,NA,NA,NA,NA,NA,NA,NA,80300000
"2021-06-ApolloMP_stereoBRUVs","APO_023",1,"Biota","Cnidaria","Corals","Black & Octocorals",NA,NA,NA,NA,NA,NA,NA,11168901
"2021-06-ApolloMP_stereoBRUVs","APO_024",12,"Biota","Ascidians",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5e+07
"2021-06-ApolloMP_stereoBRUVs","APO_024",5,"Biota","Bryozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+07
